Datum,DAX
17.08.1988,1182
18.08.1988,1173
19.08.1988,1170
22.08.1988,1167
23.08.1988,1155
24.08.1988,1161
25.08.1988,1162
26.08.1988,1157
29.08.1988,1152
30.08.1988,1165
31.08.1988,1165
01.09.1988,1152
02.09.1988,1157
05.09.1988,1174
06.09.1988,1179
07.09.1988,1185
08.09.1988,1185
09.09.1988,1186
12.09.1988,1207
13.09.1988,1206
14.09.1988,1224
15.09.1988,1228
16.09.1988,1235
19.09.1988,1252
20.09.1988,1245
21.09.1988,1260
22.09.1988,1253
23.09.1988,1252
26.09.1988,1257
27.09.1988,1248
28.09.1988,1239
29.09.1988,1248
30.09.1988,1252
03.10.1988,1242
04.10.1988,1245
05.10.1988,1252
06.10.1988,1261
07.10.1988,1269
10.10.1988,1286
11.10.1988,1271
12.10.1988,1257
13.10.1988,1269
14.10.1988,1289
17.10.1988,1282
18.10.1988,1295
19.10.1988,1304
20.10.1988,1295
21.10.1988,1289
24.10.1988,1281
25.10.1988,1293
26.10.1988,1310
27.10.1988,1313
28.10.1988,1314
31.10.1988,1300
01.11.1988,1310
02.11.1988,1288
03.11.1988,1280
04.11.1988,1285
07.11.1988,1271
08.11.1988,1287
09.11.1988,1277
10.11.1988,1263
11.11.1988,1252
14.11.1988,1261
15.11.1988,1262
17.11.1988,1264
18.11.1988,1277
21.11.1988,1284
22.11.1988,1277
23.11.1988,1280
24.11.1988,1279
25.11.1988,1275
28.11.1988,1259
29.11.1988,1262
30.11.1988,1275
01.12.1988,1277
02.12.1988,1275
05.12.1988,1282
06.12.1988,1287
07.12.1988,1299
08.12.1988,1296
09.12.1988,1301
12.12.1988,1292
13.12.1988,1290
14.12.1988,1286
15.12.1988,1285
16.12.1988,1296
19.12.1988,1315
20.12.1988,1333
21.12.1988,1321
22.12.1988,1324
23.12.1988,1328
27.12.1988,1340
28.12.1988,1333
29.12.1988,1327
02.01.1989,1333
03.01.1989,1359
04.01.1989,1365
05.01.1989,1370
06.01.1989,1359
09.01.1989,1366
10.01.1989,1345
11.01.1989,1353
12.01.1989,1358
13.01.1989,1353
16.01.1989,1344
17.01.1989,1316
18.01.1989,1323
19.01.1989,1335
20.01.1989,1323
23.01.1989,1318
24.01.1989,1334
25.01.1989,1341
26.01.1989,1329
27.01.1989,1343
30.01.1989,1328
31.01.1989,1312
01.02.1989,1300
02.02.1989,1319
03.02.1989,1326
06.02.1989,1345
07.02.1989,1344
08.02.1989,1359
09.02.1989,1347
10.02.1989,1353
13.02.1989,1333
14.02.1989,1331
15.02.1989,1317
16.02.1989,1317
17.02.1989,1315
20.02.1989,1319
21.02.1989,1307
22.02.1989,1292
23.02.1989,1271
24.02.1989,1288
27.02.1989,1276
28.02.1989,1288
01.03.1989,1307
02.03.1989,1309
03.03.1989,1325
06.03.1989,1337
07.03.1989,1324
08.03.1989,1317
09.03.1989,1319
10.03.1989,1318
13.03.1989,1313
14.03.1989,1329
15.03.1989,1334
16.03.1989,1322
17.03.1989,1322
20.03.1989,1303
21.03.1989,1303
22.03.1989,1303
23.03.1989,1306
28.03.1989,1306
29.03.1989,1309
30.03.1989,1315
31.03.1989,1322
03.04.1989,1344
04.04.1989,1339
05.04.1989,1348
06.04.1989,1345
07.04.1989,1348
10.04.1989,1359
11.04.1989,1369
12.04.1989,1381
13.04.1989,1387
14.04.1989,1384
17.04.1989,1394
18.04.1989,1394
19.04.1989,1388
20.04.1989,1389
21.04.1989,1376
24.04.1989,1368
25.04.1989,1372
26.04.1989,1373
27.04.1989,1369
28.04.1989,1370
02.05.1989,1362
03.05.1989,1368
05.05.1989,1380
08.05.1989,1380
09.05.1989,1366
10.05.1989,1365
11.05.1989,1358
12.05.1989,1347
16.05.1989,1339
17.05.1989,1345
18.05.1989,1343
19.05.1989,1350
22.05.1989,1345
23.05.1989,1352
24.05.1989,1372
26.05.1989,1375
29.05.1989,1385
30.05.1989,1403
31.05.1989,1407
01.06.1989,1413
02.06.1989,1419
05.06.1989,1419
06.06.1989,1413
07.06.1989,1432
08.06.1989,1438
09.06.1989,1437
12.06.1989,1436
13.06.1989,1429
14.06.1989,1433
15.06.1989,1426
16.06.1989,1426
19.06.1989,1456
20.06.1989,1472
21.06.1989,1474
22.06.1989,1483
23.06.1989,1491
26.06.1989,1487
27.06.1989,1477
28.06.1989,1491
29.06.1989,1491
30.06.1989,1473
03.07.1989,1492
04.07.1989,1505
05.07.1989,1507
06.07.1989,1493
07.07.1989,1510
10.07.1989,1512
11.07.1989,1508
12.07.1989,1503
13.07.1989,1516
14.07.1989,1530
17.07.1989,1522
18.07.1989,1520
19.07.1989,1540
20.07.1989,1550
21.07.1989,1555
24.07.1989,1543
25.07.1989,1555
26.07.1989,1568
27.07.1989,1567
28.07.1989,1553
31.07.1989,1554
01.08.1989,1578
02.08.1989,1587
03.08.1989,1574
04.08.1989,1590
07.08.1989,1592
08.08.1989,1603
09.08.1989,1608
10.08.1989,1609
11.08.1989,1608
14.08.1989,1584
15.08.1989,1573
16.08.1989,1581
17.08.1989,1576
18.08.1989,1575
21.08.1989,1603
22.08.1989,1600
23.08.1989,1586
24.08.1989,1592
25.08.1989,1604
28.08.1989,1595
29.08.1989,1597
30.08.1989,1585
31.08.1989,1597
01.09.1989,1608
04.09.1989,1623
05.09.1989,1637
06.09.1989,1633
07.09.1989,1641
08.09.1989,1657
11.09.1989,1641
12.09.1989,1625
13.09.1989,1609
14.09.1989,1612
15.09.1989,1595
18.09.1989,1605
19.09.1989,1614
20.09.1989,1612
21.09.1989,1611
22.09.1989,1628
25.09.1989,1635
26.09.1989,1609
27.09.1989,1591
28.09.1989,1585
29.09.1989,1574
02.10.1989,1577
03.10.1989,1602
04.10.1989,1613
05.10.1989,1616
06.10.1989,1624
09.10.1989,1639
10.10.1989,1636
11.10.1989,1604
12.10.1989,1612
13.10.1989,1589
16.10.1989,1385
17.10.1989,1475
18.10.1989,1491
19.10.1989,1526
20.10.1989,1524
23.10.1989,1523
24.10.1989,1507
25.10.1989,1481
26.10.1989,1482
27.10.1989,1462
30.10.1989,1466
31.10.1989,1472
01.11.1989,1476
02.11.1989,1460
03.11.1989,1449
06.11.1989,1454
07.11.1989,1428
08.11.1989,1441
09.11.1989,1462
10.11.1989,1496
13.11.1989,1530
14.11.1989,1503
15.11.1989,1498
16.11.1989,1529
17.11.1989,1531
20.11.1989,1532
21.11.1989,1514
23.11.1989,1534
24.11.1989,1555
27.11.1989,1554
28.11.1989,1550
29.11.1989,1562
30.11.1989,1577
01.12.1989,1612
04.12.1989,1634
05.12.1989,1626
06.12.1989,1658
07.12.1989,1664
08.12.1989,1650
11.12.1989,1653
12.12.1989,1653
13.12.1989,1638
14.12.1989,1623
15.12.1989,1627
18.12.1989,1634
19.12.1989,1647
20.12.1989,1675
21.12.1989,1676
22.12.1989,1696
27.12.1989,1771
28.12.1989,1790
02.01.1990,1814
03.01.1990,1869
04.01.1990,1835
05.01.1990,1820
08.01.1990,1843
09.01.1990,1865
10.01.1990,1839
11.01.1990,1855
12.01.1990,1855
15.01.1990,1841
16.01.1990,1788
17.01.1990,1802
18.01.1990,1779
19.01.1990,1773
22.01.1990,1779
23.01.1990,1801
24.01.1990,1756
25.01.1990,1787
26.01.1990,1794
29.01.1990,1811
30.01.1990,1812
31.01.1990,1822
01.02.1990,1858
02.02.1990,1910
05.02.1990,1939
06.02.1990,1937
07.02.1990,1900
08.02.1990,1915
09.02.1990,1885
12.02.1990,1860
13.02.1990,1840
14.02.1990,1832
15.02.1990,1850
16.02.1990,1893
19.02.1990,1869
20.02.1990,1823
21.02.1990,1807
22.02.1990,1820
23.02.1990,1789
26.02.1990,1776
27.02.1990,1804
28.02.1990,1809
01.03.1990,1787
02.03.1990,1818
05.03.1990,1833
06.03.1990,1822
07.03.1990,1844
08.03.1990,1860
09.03.1990,1858
12.03.1990,1846
13.03.1990,1867
14.03.1990,1862
15.03.1990,1879
16.03.1990,1889
19.03.1990,1906
20.03.1990,1908
21.03.1990,1937
22.03.1990,1918
23.03.1990,1932
26.03.1990,1939
27.03.1990,1924
28.03.1990,1928
29.03.1990,1953
30.03.1990,1968
02.04.1990,1931
03.04.1990,1968
04.04.1990,1963
05.04.1990,1958
06.04.1990,1947
09.04.1990,1923
10.04.1990,1898
11.04.1990,1893
12.04.1990,1918
17.04.1990,1914
18.04.1990,1889
19.04.1990,1878
20.04.1990,1884
23.04.1990,1837
24.04.1990,1830
25.04.1990,1843
26.04.1990,1827
27.04.1990,1825
30.04.1990,1813
02.05.1990,1843
03.05.1990,1881
04.05.1990,1912
07.05.1990,1934
08.05.1990,1899
09.05.1990,1896
10.05.1990,1893
11.05.1990,1875
14.05.1990,1860
15.05.1990,1851
16.05.1990,1841
17.05.1990,1841
18.05.1990,1843
21.05.1990,1811
22.05.1990,1813
23.05.1990,1831
25.05.1990,1823
28.05.1990,1828
29.05.1990,1842
30.05.1990,1840
31.05.1990,1844
01.06.1990,1856
05.06.1990,1876
06.06.1990,1849
07.06.1990,1837
08.06.1990,1822
11.06.1990,1809
12.06.1990,1800
13.06.1990,1787
15.06.1990,1792
18.06.1990,1797
19.06.1990,1836
20.06.1990,1849
21.06.1990,1863
22.06.1990,1872
25.06.1990,1896
26.06.1990,1890
27.06.1990,1901
28.06.1990,1895
29.06.1990,1879
02.07.1990,1915
03.07.1990,1906
04.07.1990,1925
05.07.1990,1914
06.07.1990,1932
09.07.1990,1923
10.07.1990,1909
11.07.1990,1917
12.07.1990,1916
13.07.1990,1931
16.07.1990,1931
17.07.1990,1929
18.07.1990,1966
19.07.1990,1957
20.07.1990,1947
23.07.1990,1938
24.07.1990,1921
25.07.1990,1920
26.07.1990,1932
27.07.1990,1919
30.07.1990,1911
31.07.1990,1919
01.08.1990,1892
02.08.1990,1869
03.08.1990,1840
06.08.1990,1740
07.08.1990,1770
08.08.1990,1723
09.08.1990,1755
10.08.1990,1749
13.08.1990,1706
14.08.1990,1715
15.08.1990,1742
16.08.1990,1727
17.08.1990,1665
20.08.1990,1635
21.08.1990,1549
22.08.1990,1575
23.08.1990,1520
24.08.1990,1559
27.08.1990,1654
28.08.1990,1617
29.08.1990,1637
30.08.1990,1638
31.08.1990,1629
03.09.1990,1629
04.09.1990,1590
05.09.1990,1564
06.09.1990,1557
07.09.1990,1562
10.09.1990,1600
11.09.1990,1577
12.09.1990,1598
13.09.1990,1582
14.09.1990,1554
17.09.1990,1541
18.09.1990,1507
19.09.1990,1487
20.09.1990,1457
21.09.1990,1446
24.09.1990,1416
25.09.1990,1353
26.09.1990,1381
27.09.1990,1354
28.09.1990,1334
01.10.1990,1420
02.10.1990,1444
04.10.1990,1422
05.10.1990,1391
08.10.1990,1465
09.10.1990,1433
10.10.1990,1407
11.10.1990,1428
12.10.1990,1459
15.10.1990,1478
16.10.1990,1460
17.10.1990,1440
18.10.1990,1470
19.10.1990,1482
22.10.1990,1474
23.10.1990,1514
24.10.1990,1493
25.10.1990,1497
26.10.1990,1457
29.10.1990,1454
30.10.1990,1431
31.10.1990,1433
01.11.1990,1417
02.11.1990,1414
05.11.1990,1414
06.11.1990,1398
07.11.1990,1371
08.11.1990,1369
09.11.1990,1381
12.11.1990,1402
13.11.1990,1402
14.11.1990,1406
15.11.1990,1421
16.11.1990,1425
19.11.1990,1467
20.11.1990,1467
22.11.1990,1496
23.11.1990,1483
26.11.1990,1443
27.11.1990,1415
28.11.1990,1420
29.11.1990,1418
30.11.1990,1441
03.12.1990,1462
04.12.1990,1446
05.12.1990,1470
06.12.1990,1504
07.12.1990,1512
10.12.1990,1504
11.12.1990,1492
12.12.1990,1517
13.12.1990,1517
14.12.1990,1522
17.12.1990,1475
18.12.1990,1477
19.12.1990,1457
20.12.1990,1409
21.12.1990,1414
27.12.1990,1410
28.12.1990,1398
02.01.1991,1366
03.01.1991,1366
04.01.1991,1396
07.01.1991,1358
08.01.1991,1353
09.01.1991,1375
10.01.1991,1383
11.01.1991,1382
14.01.1991,1327
15.01.1991,1325
16.01.1991,1322
17.01.1991,1422
18.01.1991,1405
21.01.1991,1390
22.01.1991,1375
23.01.1991,1358
24.01.1991,1375
25.01.1991,1382
28.01.1991,1382
29.01.1991,1380
30.01.1991,1400
31.01.1991,1420
01.02.1991,1426
04.02.1991,1435
05.02.1991,1438
06.02.1991,1428
07.02.1991,1436
08.02.1991,1467
11.02.1991,1488
12.02.1991,1468
13.02.1991,1489
14.02.1991,1486
15.02.1991,1531
18.02.1991,1572
19.02.1991,1587
20.02.1991,1567
21.02.1991,1566
22.02.1991,1582
25.02.1991,1601
26.02.1991,1558
27.02.1991,1565
28.02.1991,1542
01.03.1991,1516
04.03.1991,1530
05.03.1991,1540
06.03.1991,1594
07.03.1991,1580
08.03.1991,1602
11.03.1991,1565
12.03.1991,1571
13.03.1991,1542
14.03.1991,1576
15.03.1991,1570
18.03.1991,1552
19.03.1991,1546
20.03.1991,1517
21.03.1991,1519
22.03.1991,1520
25.03.1991,1515
26.03.1991,1498
27.03.1991,1508
28.03.1991,1522
02.04.1991,1538
03.04.1991,1577
04.04.1991,1571
05.04.1991,1586
08.04.1991,1579
09.04.1991,1582
10.04.1991,1561
11.04.1991,1565
12.04.1991,1583
15.04.1991,1601
16.04.1991,1603
17.04.1991,1623
18.04.1991,1613
19.04.1991,1599
22.04.1991,1571
23.04.1991,1597
24.04.1991,1603
25.04.1991,1620
26.04.1991,1623
29.04.1991,1620
30.04.1991,1605
02.05.1991,1630
03.05.1991,1631
06.05.1991,1623
07.05.1991,1627
08.05.1991,1607
10.05.1991,1620
13.05.1991,1610
14.05.1991,1598
15.05.1991,1590
16.05.1991,1598
17.05.1991,1598
21.05.1991,1617
22.05.1991,1647
23.05.1991,1652
24.05.1991,1671
27.05.1991,1681
28.05.1991,1682
29.05.1991,1681
31.05.1991,1704
03.06.1991,1694
04.06.1991,1685
05.06.1991,1712
06.06.1991,1704
07.06.1991,1709
10.06.1991,1704
11.06.1991,1715
12.06.1991,1700
13.06.1991,1692
14.06.1991,1699
17.06.1991,1701
18.06.1991,1695
19.06.1991,1683
20.06.1991,1687
21.06.1991,1711
24.06.1991,1691
25.06.1991,1691
26.06.1991,1672
27.06.1991,1666
28.06.1991,1622
01.07.1991,1625
02.07.1991,1610
03.07.1991,1614
04.07.1991,1616
05.07.1991,1618
08.07.1991,1605
09.07.1991,1627
10.07.1991,1634
11.07.1991,1637
12.07.1991,1644
15.07.1991,1646
16.07.1991,1643
17.07.1991,1625
18.07.1991,1618
19.07.1991,1623
22.07.1991,1623
23.07.1991,1632
24.07.1991,1621
25.07.1991,1615
26.07.1991,1605
29.07.1991,1605
30.07.1991,1614
31.07.1991,1622
01.08.1991,1622
02.08.1991,1615
05.08.1991,1622
06.08.1991,1611
07.08.1991,1631
08.08.1991,1630
09.08.1991,1632
12.08.1991,1626
13.08.1991,1644
14.08.1991,1650
15.08.1991,1654
16.08.1991,1653
19.08.1991,1497
20.08.1991,1526
21.08.1991,1570
22.08.1991,1630
23.08.1991,1627
26.08.1991,1654
27.08.1991,1647
28.08.1991,1647
29.08.1991,1655
30.08.1991,1650
02.09.1991,1650
03.09.1991,1655
04.09.1991,1647
05.09.1991,1647
06.09.1991,1646
09.09.1991,1633
10.09.1991,1629
11.09.1991,1628
12.09.1991,1631
13.09.1991,1637
16.09.1991,1629
17.09.1991,1634
18.09.1991,1628
19.09.1991,1620
20.09.1991,1616
23.09.1991,1614
24.09.1991,1626
25.09.1991,1625
26.09.1991,1619
27.09.1991,1608
30.09.1991,1607
01.10.1991,1609
02.10.1991,1607
04.10.1991,1601
07.10.1991,1588
08.10.1991,1578
09.10.1991,1567
10.10.1991,1567
11.10.1991,1568
14.10.1991,1571
15.10.1991,1585
16.10.1991,1570
17.10.1991,1564
18.10.1991,1563
21.10.1991,1572
22.10.1991,1580
23.10.1991,1587
24.10.1991,1579
25.10.1991,1572
28.10.1991,1576
29.10.1991,1590
30.10.1991,1582
31.10.1991,1582
01.11.1991,1573
04.11.1991,1570
05.11.1991,1576
06.11.1991,1574
07.11.1991,1578
08.11.1991,1606
11.11.1991,1609
12.11.1991,1621
13.11.1991,1623
14.11.1991,1620
15.11.1991,1629
18.11.1991,1611
19.11.1991,1599
21.11.1991,1598
22.11.1991,1600
25.11.1991,1589
26.11.1991,1602
27.11.1991,1586
28.11.1991,1588
29.11.1991,1566
02.12.1991,1545
03.12.1991,1546
04.12.1991,1560
05.12.1991,1553
06.12.1991,1558
09.12.1991,1559
10.12.1991,1551
11.12.1991,1543
12.12.1991,1546
13.12.1991,1558
16.12.1991,1552
17.12.1991,1560
18.12.1991,1573
19.12.1991,1561
20.12.1991,1543
23.12.1991,1539
27.12.1991,1563
30.12.1991,1577
02.01.1992,1601
03.01.1992,1603
06.01.1992,1603
07.01.1992,1592
08.01.1992,1578
09.01.1992,1589
10.01.1992,1615
13.01.1992,1622
14.01.1992,1628
15.01.1992,1667
16.01.1992,1666
17.01.1992,1670
20.01.1992,1677
21.01.1992,1685
22.01.1992,1680
23.01.1992,1669
24.01.1992,1664
27.01.1992,1683
28.01.1992,1683
29.01.1992,1672
30.01.1992,1680
31.01.1992,1687
03.02.1992,1689
04.02.1992,1676
05.02.1992,1686
06.02.1992,1681
07.02.1992,1685
10.02.1992,1682
11.02.1992,1683
12.02.1992,1678
13.02.1992,1681
14.02.1992,1676
17.02.1992,1681
18.02.1992,1694
19.02.1992,1687
20.02.1992,1703
21.02.1992,1717
24.02.1992,1729
25.02.1992,1722
26.02.1992,1737
27.02.1992,1749
28.02.1992,1745
02.03.1992,1747
03.03.1992,1763
04.03.1992,1759
05.03.1992,1764
06.03.1992,1745
09.03.1992,1750
10.03.1992,1750
11.03.1992,1743
12.03.1992,1727
13.03.1992,1733
16.03.1992,1724
17.03.1992,1730
18.03.1992,1732
19.03.1992,1724
20.03.1992,1736
23.03.1992,1717
24.03.1992,1713
25.03.1992,1716
26.03.1992,1719
27.03.1992,1711
30.03.1992,1710
31.03.1992,1717
01.04.1992,1707
02.04.1992,1721
03.04.1992,1719
06.04.1992,1734
07.04.1992,1739
08.04.1992,1720
09.04.1992,1720
10.04.1992,1736
13.04.1992,1727
14.04.1992,1732
15.04.1992,1743
16.04.1992,1749
21.04.1992,1746
22.04.1992,1753
23.04.1992,1752
24.04.1992,1745
27.04.1992,1742
28.04.1992,1735
29.04.1992,1735
30.04.1992,1734
04.05.1992,1728
05.05.1992,1732
06.05.1992,1743
07.05.1992,1750
08.05.1992,1748
11.05.1992,1753
12.05.1992,1751
13.05.1992,1749
14.05.1992,1742
15.05.1992,1724
18.05.1992,1758
19.05.1992,1763
20.05.1992,1787
21.05.1992,1785
22.05.1992,1802
25.05.1992,1811
26.05.1992,1806
27.05.1992,1794
29.05.1992,1803
01.06.1992,1798
02.06.1992,1801
03.06.1992,1788
04.06.1992,1792
05.06.1992,1789
09.06.1992,1786
10.06.1992,1789
11.06.1992,1781
12.06.1992,1782
15.06.1992,1773
16.06.1992,1779
17.06.1992,1771
19.06.1992,1772
22.06.1992,1770
23.06.1992,1771
24.06.1992,1768
25.06.1992,1764
26.06.1992,1754
29.06.1992,1757
30.06.1992,1752
01.07.1992,1756
02.07.1992,1768
03.07.1992,1776
06.07.1992,1772
07.07.1992,1767
08.07.1992,1751
09.07.1992,1757
10.07.1992,1754
13.07.1992,1736
14.07.1992,1734
15.07.1992,1734
16.07.1992,1740
17.07.1992,1702
20.07.1992,1649
21.07.1992,1659
22.07.1992,1628
23.07.1992,1623
24.07.1992,1610
27.07.1992,1618
28.07.1992,1610
29.07.1992,1628
30.07.1992,1623
31.07.1992,1615
03.08.1992,1594
04.08.1992,1611
05.08.1992,1628
06.08.1992,1621
07.08.1992,1609
10.08.1992,1582
11.08.1992,1564
12.08.1992,1553
13.08.1992,1540
14.08.1992,1547
17.08.1992,1555
18.08.1992,1533
19.08.1992,1524
20.08.1992,1513
21.08.1992,1520
24.08.1992,1498
25.08.1992,1468
26.08.1992,1473
27.08.1992,1513
28.08.1992,1516
31.08.1992,1541
01.09.1992,1518
02.09.1992,1506
03.09.1992,1530
04.09.1992,1536
07.09.1992,1540
08.09.1992,1544
09.09.1992,1525
10.09.1992,1528
11.09.1992,1527
14.09.1992,1595
15.09.1992,1587
16.09.1992,1584
17.09.1992,1578
18.09.1992,1589
21.09.1992,1573
22.09.1992,1550
23.09.1992,1557
24.09.1992,1530
25.09.1992,1513
28.09.1992,1475
29.09.1992,1476
30.09.1992,1466
01.10.1992,1484
02.10.1992,1478
05.10.1992,1424
06.10.1992,1420
07.10.1992,1436
08.10.1992,1451
09.10.1992,1439
12.10.1992,1432
13.10.1992,1465
14.10.1992,1458
15.10.1992,1453
16.10.1992,1461
19.10.1992,1479
20.10.1992,1511
21.10.1992,1503
22.10.1992,1510
23.10.1992,1526
26.10.1992,1542
27.10.1992,1533
28.10.1992,1510
29.10.1992,1493
30.10.1992,1492
02.11.1992,1472
03.11.1992,1485
04.11.1992,1472
05.11.1992,1480
06.11.1992,1487
09.11.1992,1508
10.11.1992,1519
11.11.1992,1512
12.11.1992,1535
13.11.1992,1548
16.11.1992,1546
17.11.1992,1545
19.11.1992,1551
20.11.1992,1544
23.11.1992,1530
24.11.1992,1510
25.11.1992,1517
26.11.1992,1523
27.11.1992,1522
30.11.1992,1544
01.12.1992,1544
02.12.1992,1533
03.12.1992,1532
04.12.1992,1522
07.12.1992,1525
08.12.1992,1508
09.12.1992,1500
10.12.1992,1494
11.12.1992,1476
14.12.1992,1469
15.12.1992,1481
16.12.1992,1472
17.12.1992,1476
18.12.1992,1492
21.12.1992,1515
22.12.1992,1523
23.12.1992,1526
28.12.1992,1544
29.12.1992,1542
30.12.1992,1545
04.01.1993,1531
05.01.1993,1556
06.01.1993,1556
07.01.1993,1542
08.01.1993,1531
11.01.1993,1531
12.01.1993,1530
13.01.1993,1516
14.01.1993,1523
15.01.1993,1544
18.01.1993,1573
19.01.1993,1578
20.01.1993,1574
21.01.1993,1573
22.01.1993,1587
25.01.1993,1569
26.01.1993,1576
27.01.1993,1562
28.01.1993,1567
29.01.1993,1571
01.02.1993,1585
02.02.1993,1583
03.02.1993,1601
04.02.1993,1601
05.02.1993,1641
08.02.1993,1647
09.02.1993,1641
10.02.1993,1649
11.02.1993,1651
12.02.1993,1661
15.02.1993,1664
16.02.1993,1664
17.02.1993,1653
18.02.1993,1672
19.02.1993,1677
22.02.1993,1680
23.02.1993,1661
24.02.1993,1644
25.02.1993,1658
26.02.1993,1684
01.03.1993,1700
02.03.1993,1696
03.03.1993,1693
04.03.1993,1687
05.03.1993,1682
08.03.1993,1694
09.03.1993,1713
10.03.1993,1709
11.03.1993,1717
12.03.1993,1707
15.03.1993,1702
16.03.1993,1697
17.03.1993,1685
18.03.1993,1696
19.03.1993,1698
22.03.1993,1661
23.03.1993,1648
24.03.1993,1659
25.03.1993,1657
26.03.1993,1661
29.03.1993,1674
30.03.1993,1685
31.03.1993,1684
01.04.1993,1671
02.04.1993,1661
05.04.1993,1658
06.04.1993,1665
07.04.1993,1650
08.04.1993,1655
13.04.1993,1671
14.04.1993,1672
15.04.1993,1675
16.04.1993,1678
19.04.1993,1693
20.04.1993,1687
21.04.1993,1666
22.04.1993,1666
23.04.1993,1657
26.04.1993,1649
27.04.1993,1640
28.04.1993,1628
29.04.1993,1623
30.04.1993,1627
03.05.1993,1629
04.05.1993,1627
05.05.1993,1623
06.05.1993,1623
07.05.1993,1611
10.05.1993,1609
11.05.1993,1616
12.05.1993,1629
13.05.1993,1639
14.05.1993,1634
17.05.1993,1627
18.05.1993,1628
19.05.1993,1617
21.05.1993,1610
24.05.1993,1603
25.05.1993,1618
26.05.1993,1622
27.05.1993,1634
28.05.1993,1631
01.06.1993,1619
02.06.1993,1625
03.06.1993,1629
04.06.1993,1637
07.06.1993,1655
08.06.1993,1661
09.06.1993,1673
11.06.1993,1680
14.06.1993,1691
15.06.1993,1684
16.06.1993,1689
17.06.1993,1692
18.06.1993,1686
21.06.1993,1689
22.06.1993,1698
23.06.1993,1699
24.06.1993,1686
25.06.1993,1695
28.06.1993,1707
29.06.1993,1708
30.06.1993,1697
01.07.1993,1706
02.07.1993,1697
05.07.1993,1692
06.07.1993,1700
07.07.1993,1719
08.07.1993,1783
09.07.1993,1797
12.07.1993,1818
13.07.1993,1807
14.07.1993,1811
15.07.1993,1807
16.07.1993,1813
19.07.1993,1836
20.07.1993,1838
21.07.1993,1823
22.07.1993,1823
23.07.1993,1830
26.07.1993,1854
27.07.1993,1845
28.07.1993,1833
29.07.1993,1833
30.07.1993,1803
02.08.1993,1815
03.08.1993,1843
04.08.1993,1860
05.08.1993,1860
06.08.1993,1869
09.08.1993,1872
